인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
19980629,1,,충청북도 청주시 서원구 미평동 123-1 이.마트 지하3층,(주)신세계푸드 E.Bakery(이베이커리)청주점,제과점영업,서원구,미평동
19981128,1,,충청북도 청주시 서원구 사창동 302-4번지,뚜레쥬르청주흥덕(3)점,제과점영업,서원구,사창동
20160503,1,,충청북도 청주시 서원구 사창동 316-62 1층,보키네빵집,제과점영업,서원구,사창동
20160719,1,,충청북도 청주시 흥덕구 오송읍 연제리 713,좋은아침 오송점,제과점영업,흥덕구,오송읍
20160801,1,,충청북도 청주시 서원구 성화동 619번지 성화주공2단지아파트 주출입구 상가동 105호,PAO(파오),제과점영업,서원구,성화동
20160804,1,,충청북도 청주시 서원구 현도면 선동리 284-7 죽암휴게소 1층,계룡산업(주)죽암(하)휴게소-꽈배기,제과점영업,서원구,현도면
20160812,1,,충청북도 청주시 흥덕구 가경동 1685번지 외 4필지,선물같은오늘(가경점),제과점영업,흥덕구,가경동
20160822,1,,충청북도 청주시 서원구 모충동 230-36번지 1층,뚜레쥬르 청주서원대점,제과점영업,서원구,모충동
20160922,1,,충청북도 청주시 청원구 오창읍 송대리 337번지,하나로베이커리,제과점영업,청원구,오창읍
20161024,1,,충청북도 청주시 청원구 율량동 1977,떡 꽃닮,제과점영업,청원구,율량동
20161110,1,,충청북도 청주시 청원구 율량동 2133번지,세화플라워케이크,제과점영업,청원구,율량동
20070430,1,,충청북도 청주시 서원구 산남동 685,뚜레쥬르산남점,제과점영업,서원구,산남동
20070620,1,,"충청북도 청주시 서원구 산남동 503번지 외 1필지(103, 104호)",파리바게트산남계룡점,제과점영업,서원구,산남동
20070813,1,,"충청북도 청주시 서원구 산남동 496번지 ,495번지 렉슬2 105호",뚜레쥬르(산남계룡점),제과점영업,서원구,산남동
20080408,1,,충청북도 청주시 청원구 내수읍 마산리 168-1,파리바게뜨충북내수점,제과점영업,청원구,내수읍
20090810,1,,충청북도 청주시 흥덕구 복대동 3318번지 (1층),뚜레쥬르청주복대어울림점,제과점영업,흥덕구,복대동
20090814,1,,충청북도 청주시 흥덕구 봉명동 461-1번지 (1층),파리바게뜨신봉점,제과점영업,흥덕구,봉명동
20090820,1,,충청북도 청주시 청원구 내덕동 291-4번지,파리바게뜨 청주국립현대미술관점,제과점영업,청원구,내덕동
20090910,1,,충청북도 청주시 상당구 용암동 1596번지 1층,뚜레쥬르용암현대점(2),제과점영업,상당구,용암동
